source,target,weight
杭钢股份,首创股份,1
杭钢股份,上海机场,1
杭钢股份,皖通高速,1
杭钢股份,日照港,1
杭钢股份,中原高速,1
杭钢股份,上海电力,1
杭钢股份,中海发展,1
杭钢股份,华电国际,1
杭钢股份,福建高速,1
杭钢股份,楚天高速,1
杭钢股份,歌华有线,1
杭钢股份,浙江广厦,1
杭钢股份,中江地产,1
杭钢股份,华润万东,1
杭钢股份,象屿股份,1
杭钢股份,国投安信,1
杭钢股份,南京高科,1
杭钢股份,*ST光学,1
杭钢股份,上海梅林,1
杭钢股份,海泰发展,1
杭钢股份,中视传媒,1
杭钢股份,*ST明科,1
杭钢股份,禾嘉股份,1
杭钢股份,大名城,1
杭钢股份,哈高科,1
杭钢股份,林海股份,1
杭钢股份,同方股份,1
杭钢股份,永鼎股份,1
杭钢股份,中国卫星,1
杭钢股份,浙江东方,1
杭钢股份,宏图高科,1
金健米业,白云机场,1
金健米业,武钢股份,1
金健米业,东风汽车,1
金健米业,上海机场,1
金健米业,华能国际,1
金健米业,皖通高速,1
金健米业,日照港,1
金健米业,宝钢股份,1
金健米业,中原高速,1
金健米业,上海电力,1
金健米业,中海发展,1
金健米业,华电国际,1
金健米业,南方航空,1
金健米业,福建高速,1
金健米业,楚天高速,1
金健米业,招商银行,1
金健米业,歌华有线,1
金健米业,中国联通,1
金健米业,浙江广厦,1
金健米业,华润万东,1
金健米业,国投安信,1
金健米业,皖维高新,1
金健米业,保千里,1
金健米业,啤酒花,1
金健米业,*ST明科,1
金健米业,大名城,1
金健米业,哈高科,1
金健米业,林海股份,1
金健米业,同方股份,1
金健米业,青山纸业,1
金健米业,永鼎股份,1
金健米业,美尔雅,1
金健米业,东方航空,1
金健米业,中国卫星,1
金健米业,宏图高科,1
金健米业,杭钢股份,1
弘业股份,宝钢股份,1
弘业股份,中原高速,1
弘业股份,中海发展,1
弘业股份,福建高速,1
弘业股份,楚天高速,1
弘业股份,中国联通,1
弘业股份,宁波联合,1
弘业股份,皖维高新,1
弘业股份,浙江富润,1
弘业股份,哈高科,1
弘业股份,青山纸业,1
弘业股份,天成控股,1
弘业股份,杭钢股份,1
太极集团,浦发银行,1
太极集团,白云机场,1
太极集团,东风汽车,1
太极集团,中国国贸,1
太极集团,首创股份,1
太极集团,上海机场,1
太极集团,皖通高速,1
太极集团,日照港,1
太极集团,上港集团,1
太极集团,中原高速,1
太极集团,上海电力,1
太极集团,华电国际,1
太极集团,福建高速,1
太极集团,歌华有线,1
太极集团,中直股份,1
太极集团,浙江广厦,1
太极集团,中江地产,1
太极集团,华润万东,1
太极集团,象屿股份,1
太极集团,国投安信,1
太极集团,南京高科,1
太极集团,*ST光学,1
太极集团,上海梅林,1
太极集团,青鸟华光,1
太极集团,东风科技,1
太极集团,海泰发展,1
太极集团,博信股份,1
太极集团,中视传媒,1
太极集团,特变电工,1
太极集团,*ST明科,1
太极集团,禾嘉股份,1
太极集团,大名城,1
太极集团,林海股份,1
太极集团,同方股份,1
太极集团,永鼎股份,1
太极集团,中国卫星,1
太极集团,浙江东方,1
太极集团,宏图高科,1
太极集团,杭钢股份,1
波导股份,浦发银行,1
波导股份,白云机场,1
波导股份,东风汽车,1
波导股份,上海机场,1
波导股份,皖通高速,1
波导股份,日照港,1
波导股份,中原高速,1
波导股份,上海电力,1
波导股份,华电国际,1
波导股份,福建高速,1
波导股份,歌华有线,1
波导股份,中直股份,1
波导股份,浙江广厦,1
波导股份,中江地产,1
波导股份,华润万东,1
波导股份,象屿股份,1
波导股份,国投安信,1
波导股份,南京高科,1
波导股份,*ST光学,1
波导股份,上海梅林,1
波导股份,保千里,1
波导股份,青鸟华光,1
波导股份,东风科技,1
波导股份,博信股份,1
波导股份,中视传媒,1
波导股份,*ST明科,1
波导股份,禾嘉股份,1
波导股份,大名城,1
波导股份,林海股份,1
波导股份,同方股份,1
波导股份,永鼎股份,1
波导股份,中国卫星,1
波导股份,浙江东方,1
波导股份,宏图高科,1
波导股份,杭钢股份,1
波导股份,金健米业,1
波导股份,太极集团,1
岷江水电,武钢股份,1
岷江水电,山东钢铁,1
岷江水电,南方航空,1
岷江水电,中国联通,1
岷江水电,黄山旅游,1
岷江水电,皖维高新,1
岷江水电,葛洲坝,1
岷江水电,广州发展,1
岷江水电,青山纸业,1
岷江水电,美尔雅,1
岷江水电,铁龙物流,1
重庆啤酒,*ST银鸽,1
重庆啤酒,宋都股份,1
东湖高新,华夏银行,1
东湖高新,山东钢铁,1
东湖高新,中国联通,1
东湖高新,宁波联合,1
东湖高新,黄山旅游,1
东湖高新,海信电器,1
东湖高新,皖维高新,1
东湖高新,葛洲坝,1
东湖高新,三峡水利,1
东湖高新,铁龙物流,1
东湖高新,弘业股份,1
乐凯胶片,浦发银行,1
乐凯胶片,白云机场,1
乐凯胶片,东风汽车,1
乐凯胶片,上海机场,1
乐凯胶片,皖通高速,1
乐凯胶片,日照港,1
乐凯胶片,中原高速,1
乐凯胶片,上海电力,1
乐凯胶片,中海发展,1
乐凯胶片,福建高速,1
乐凯胶片,楚天高速,1
乐凯胶片,歌华有线,1
乐凯胶片,浙江广厦,1
乐凯胶片,中江地产,1
乐凯胶片,华润万东,1
乐凯胶片,象屿股份,1
乐凯胶片,国投安信,1
乐凯胶片,南京高科,1
乐凯胶片,*ST光学,1
乐凯胶片,上海梅林,1
乐凯胶片,东风科技,1
乐凯胶片,海泰发展,1
乐凯胶片,中视传媒,1
乐凯胶片,*ST明科,1
乐凯胶片,禾嘉股份,1
乐凯胶片,大名城,1
乐凯胶片,哈高科,1
乐凯胶片,林海股份,1
乐凯胶片,同方股份,1
乐凯胶片,永鼎股份,1
乐凯胶片,中国卫星,1
乐凯胶片,浙江东方,1
乐凯胶片,宏图高科,1
乐凯胶片,杭钢股份,1
乐凯胶片,金健米业,1
乐凯胶片,弘业股份,1
乐凯胶片,太极集团,1
乐凯胶片,波导股份,1
道博股份,浦发银行,1
道博股份,白云机场,1
道博股份,东风汽车,1
道博股份,首创股份,1
道博股份,上海机场,1
道博股份,上港集团,1
道博股份,浙能电力,1
道博股份,歌华有线,1
道博股份,中直股份,1
道博股份,浙江广厦,1
道博股份,中江地产,1
道博股份,华润万东,1
道博股份,象屿股份,1
道博股份,国投安信,1
道博股份,*ST光学,1
道博股份,青鸟华光,1
道博股份,东风科技,1
道博股份,博信股份,1
道博股份,东方金钰,1
道博股份,中视传媒,1
道博股份,特变电工,1
道博股份,*ST明科,1
道博股份,禾嘉股份,1
道博股份,林海股份,1
道博股份,中科英华,1
道博股份,中国卫星,1
道博股份,浙江东方,1
道博股份,太极集团,1
道博股份,波导股份,1
浪莎股份,白云机场,1
浪莎股份,东风汽车,1
浪莎股份,上海机场,1
浪莎股份,华能国际,1
浪莎股份,皖通高速,1
浪莎股份,日照港,1
浪莎股份,中原高速,1
浪莎股份,上海电力,1
浪莎股份,华电国际,1
浪莎股份,福建高速,1
